cid,district,subway,community_average
1111027373889,1,1,59015
1111027373890,1,1,95124
1111027373893,10,1,138129
1111027373894,1,1,59015
1111027373895,1,1,59015
1111027373896,1,1,95179
1111027373897,1,1,94461
1111027373899,1,1,97088
1111027373900,1,1,93461
1111027373901,1,0,90723
1111027373903,8,1,83717
1111027373904,1,1,59015
1111027373905,1,1,91139
1111027373906,7,1,67136
1111027373909,1,1,73208
1111027373910,6,0,35637
1111027373913,7,1,52249
1111027373915,7,1,53764
1111027373920,7,1,55044
1111027373922,10,0,51193
1111027373923,7,1,46679
1111027373924,1,1,92516
1111027373925,1,1,97769
1111027373926,7,1,64115
1111027373927,7,1,68475
1111027373928,7,1,67246
1111027373929,7,1,70537
1111027373930,7,1,64214
1111027373932,10,1,59015
1111027373939,7,1,57718
1111027373942,10,1,96689
1111027373943,1,1,89632
1111027373949,10,0,130815
1111027373950,10,0,118279
1111027373951,10,0,121626
1111027373952,10,0,106689
1111027373953,10,0,119762
1111027373954,1,1,69812
1111027373957,1,1,59015
1111027373961,8,1,77187
1111027373964,13,1,36286
1111027373965,10,0,59015
1111027373968,1,1,59015
1111027373971,1,1,83122
1111027373972,10,1,122353
1111027373976,10,1,111329
1111027373982,6,0,55291
1111027373990,8,1,71700
1111027373992,2,1,45820
1111027373994,8,0,66141
1111027373995,8,1,93192
1111027373999,7,1,90867
1111027374000,7,1,79898
1111027374001,7,1,78573
1111027374002,7,1,87262
1111027374003,7,1,103324
1111027374004,7,1,86353
1111027374006,8,1,95667
1111027374016,1,1,84810
1111027374017,7,1,56132
1111027374018,7,1,64552
1111027374019,7,1,94582
1111027374020,7,1,50690
1111027374021,1,1,99580
1111027374022,7,1,85762
1111027374029,7,1,74452
1111027374041,2,1,38915
1111027374043,7,0,45447
1111027374044,1,1,99381
1111027374045,7,1,41980
1111027374050,1,1,97139
1111027374051,1,1,102667
1111027374052,1,1,89912
1111027374054,6,0,34271
1111027374055,1,1,100883
1111027374056,1,1,94379
1111027374057,1,1,95425
1111027374059,7,0,51827
1111027374062,1,1,80631
1111027374065,1,1,93519
1111027374066,9,0,55733
1111027374067,6,1,59916
1111027374069,8,1,92624
1111027374072,1,1,85262
1111027374073,1,1,88954
1111027374074,1,1,101657
1111027374075,1,1,94968
1111027374076,1,1,86517
1111027374077,1,1,61156
1111027374078,1,1,100166
1111027374080,1,1,96997
1111027374081,1,1,94958
1111027374084,7,0,85564
1111027374085,1,1,78739
1111027374086,1,1,72137
1111027374087,1,1,66859
1111027374102,8,1,68880
1111027374103,8,1,75942
1111027374111,10,1,146896
1111027374114,8,1,75738
1111027374116,8,1,82002
1111027374118,6,0,59015
1111027374124,10,1,109084
1111027374133,2,0,52229
1111027374135,8,1,81452
1111027374138,4,0,48759
1111027374142,7,1,81682
1111027374145,10,1,69810
1111027374146,7,1,83051
1111027374147,7,1,116654
1111027374151,8,1,101493
1111027374161,8,1,80189
1111027374169,10,1,103706
1111027374170,10,1,103031
1111027374172,10,1,95478
1111027374173,10,1,102066
1111027374174,10,1,102539
1111027374175,10,1,118938
1111027374176,10,1,114666
1111027374177,7,1,69391
1111027374183,7,1,78052
1111027374184,2,1,60647
1111027374187,7,1,62443
1111027374188,7,1,75539
1111027374194,6,1,32488
1111027374195,8,0,67509
1111027374196,10,1,104368
1111027374197,7,0,66551
1111027374204,2,0,47448
1111027374205,10,1,135242
1111027374212,10,1,113935
1111027374213,7,0,67339
1111027374215,7,0,57709
1111027374216,1,1,83169
1111027374217,2,1,67542
1111027374218,2,0,45920
1111027374219,1,1,104991
1111027374220,1,1,84090
1111027374221,7,1,66580
1111027374222,1,1,110212
1111027374223,2,1,66505
1111027374224,7,1,99671
1111027374227,7,0,112125
1111027374228,7,0,99879
1111027374229,7,0,106096
1111027374230,7,0,99502
1111027374231,7,1,44332
1111027374232,10,1,110681
1111027374233,10,1,77757
1111027374235,2,0,48514
1111027374236,7,1,47463
1111027374239,1,1,85681
1111027374240,2,1,83265
1111027374244,10,0,87035
1111027374245,2,1,50554
1111027374247,11,0,42363
1111027374248,7,0,54612
1111027374249,7,1,120313
1111027374250,10,1,165490
1111027374252,7,0,36465
1111027374256,2,1,69301
1111027374258,1,1,59015
1111027374261,2,0,51127
1111027374265,7,1,56982
1111027374266,7,1,64669
1111027374267,1,1,103018
1111027374269,1,0,93479
1111027374270,2,1,59797
1111027374271,7,1,94022
1111027374273,7,1,90609
1111027374274,7,1,96280
1111027374276,7,1,89993
1111027374277,4,0,31106
1111027374279,6,0,25169
1111027374281,8,0,80706
1111027374283,7,1,69520
1111027374286,7,0,97665
1111027374290,8,0,63651
1111027374292,8,0,62070
1111027374294,1,0,107674
1111027374295,8,1,83077
1111027374296,7,0,43860
1111027374297,10,0,126243
1111027374298,7,1,60338
1111027374299,7,1,52632
1111027374300,1,1,63863
1111027374301,7,0,48141
1111027374302,7,0,48906
1111027374305,10,1,86359
1111027374308,8,0,130831
1111027374309,2,1,53839
1111027374311,2,1,53624
1111027374312,8,1,74963
1111027374314,4,0,38492
1111027374315,10,1,183109
1111027374316,2,1,49788
1111027374317,6,0,34792
1111027374320,8,0,70823
1111027374322,2,1,57161
1111027374324,2,0,60465
1111027374329,7,1,76261
1111027374331,10,1,176816
1111027374335,8,1,127211
1111027374336,10,1,145581
1111027374339,1,1,126283
1111027374345,1,1,100301
1111027374348,7,0,44805
1111027374354,10,1,98189
1111027374365,2,1,44435
1111027374366,7,0,43766
1111027374369,7,1,43532
1111027374371,7,1,46725
1111027374372,7,0,46571
1111027374375,2,0,44242
1111027374378,1,1,59015
1111027374388,8,1,84983
1111027374392,8,1,70383
1111027374403,10,1,109704
1111027374404,10,1,125589
1111027374406,10,1,107150
1111027374409,7,1,77663
1111027374410,2,1,62858
1111027374411,2,1,60626
1111027374417,2,1,56622
1111027374423,4,0,44880
1111027374425,7,1,55615
1111027374426,7,1,54222
1111027374427,7,1,61651
1111027374428,7,1,60297
1111027374432,10,1,80516
1111027374436,7,1,49380
1111027374437,6,1,41721
1111027374438,6,0,42926
1111027374439,6,1,39435
1111027374440,2,1,70381
1111027374444,10,1,96235
1111027374446,10,1,59015
1111027374449,10,1,150802
1111027374452,10,1,125030
1111027374455,2,0,57690
1111027374461,2,0,53876
1111027374463,7,0,63597
1111027374464,7,0,68451
1111027374465,7,0,62313
1111027374466,7,0,118404
1111027374470,7,1,62603
1111027374474,10,1,105107
1111027374478,10,1,78832
1111027374479,10,0,80602
1111027374480,10,1,87485
1111027374481,10,1,87300
1111027374483,10,1,79570
1111027374484,10,0,83559
1111027374485,10,1,79432
1111027374487,10,0,69760
1111027374488,8,0,70934
1111027374489,10,0,92036
1111027374492,10,1,94117
1111027374498,7,0,40012
1111027374501,1,1,65228
1111027374502,1,1,61892
1111027374503,9,0,44959
1111027374505,8,1,80810
1111027374512,7,1,80932
1111027374513,1,1,59015
1111027374516,2,1,48814
1111027374519,1,1,78590
1111027374520,9,1,49995
1111027374521,9,1,46578
1111027374526,9,0,46904
1111027374529,10,1,86631
1111027374531,7,1,75031
1111027374532,7,1,73671
1111027374542,7,1,87363
1111027374544,8,1,92621
1111027374548,10,1,85308
1111027374549,7,1,77030
1111027374551,7,0,82194
1111027374552,7,1,81534
1111027374557,7,0,87496
1111027374561,7,1,98882
1111027374562,7,1,61717
1111027374569,7,0,91231
1111027374573,10,1,96108
1111027374575,10,1,106583
1111027374577,10,1,138803
1111027374580,1,1,60867
1111027374582,1,1,55253
1111027374583,7,1,54615
1111027374585,7,1,77394
1111027374586,7,1,76001
1111027374587,7,1,63419
1111027374589,7,1,59825
1111027374590,7,0,74064
1111027374591,10,1,75483
1111027374592,7,1,62683
1111027374593,7,1,84930
1111027374597,7,1,30864
1111027374600,7,1,64573
1111027374608,8,1,83944
1111027374615,8,0,75792
1111027374616,7,1,57285
1111027374617,7,1,53772
1111027374618,7,1,57548
1111027374619,7,1,52484
1111027374620,7,0,59060
1111027374621,7,1,55989
1111027374622,10,1,99633
1111027374625,1,1,92283
1111027374626,7,1,46777
1111027374627,8,1,92132
1111027374631,7,1,54975
1111027374632,7,1,60399
1111027374633,11,0,46204
1111027374637,7,1,52650
1111027374642,7,1,71985
1111027374643,10,1,113948
1111027374645,7,0,51714
1111027374646,8,0,73109
1111027374647,7,1,54748
1111027374649,7,0,53994
1111027374650,7,0,50492
1111027374654,7,0,62598
1111027374656,7,0,58092
1111027374663,10,1,59015
1111027374667,10,1,59015
1111027374668,1,0,79873
1111027374671,1,0,84672
1111027374673,1,1,84214
1111027374678,2,1,61390
1111027374680,1,1,78235
1111027374681,7,1,56540
1111027374682,1,1,84131
1111027374683,7,1,61589
1111027374684,7,1,60167
1111027374685,7,1,65697
1111027374686,1,1,71761
1111027374687,7,1,79126
1111027374689,1,1,86302
1111027374690,1,1,77289
1111027374691,1,1,94514
1111027374693,3,1,28609
1111027374694,10,1,70690
1111027374701,8,1,106680
1111027374706,1,1,92041
1111027374707,1,1,95785
1111027374710,7,1,59021
1111027374714,1,1,83519
1111027374715,1,1,93139
1111027374716,1,1,84932
1111027374717,7,1,74171
1111027374721,7,1,74848
1111027374722,10,0,108020
1111027374723,7,1,75677
1111027374724,1,1,88516
1111027374726,6,1,49033
1111027374731,7,1,74639
1111027374734,10,0,78917
1111027374735,10,0,82715
1111027374737,10,1,88035
1111027374738,13,0,33443
1111027374744,1,1,98727
1111027374745,1,1,103869
1111027374747,7,1,50246
1111027374748,10,1,77120
1111027374749,13,0,34065
1111027374750,8,1,98686
1111027374751,7,1,78232
1111027374752,7,1,88114
1111027374753,1,1,56000
1111027374755,1,1,60650
1111027374756,7,1,68650
1111027374757,1,1,70154
1111027374762,7,0,86411
1111027374768,10,1,141922
1111027374772,7,1,91022
1111027374778,10,1,74274
1111027374783,10,1,95134
1111027374784,1,1,114538
1111027374785,10,1,116476
1111027374786,1,1,108362
1111027374787,1,1,111731
1111027374788,7,0,44062
1111027374790,7,1,74715
1111027374791,10,1,88803
1111027374792,7,1,72828
1111027374793,7,0,71592
1111027374795,1,1,72214
1111027374796,10,1,86316
1111027374797,10,1,89911
1111027374798,7,0,42868
1111027374799,7,0,44664
1111027374802,10,1,59015
1111027374804,1,1,92162
1111027374805,10,1,63676
1111027374806,10,1,59015
1111027374808,10,1,59015
1111027374809,10,1,92173
1111027374810,10,1,59015
1111027374812,3,0,51025
1111027374815,10,1,132048
1111027374818,7,1,82336
1111027374819,7,0,49782
1111027374820,4,0,33323
1111027374821,7,0,46789
1111027374824,4,0,33298
1111027374825,1,1,103051
1111027374827,11,0,45887
1111027374834,11,0,44118
1111027374837,6,0,38178
1111027374838,10,1,106697
1111027374839,10,1,56223
1111027374840,10,1,103277
1111027374844,7,0,49901
1111027374845,1,1,73703
1111027374846,7,0,43613
1111027374847,7,0,43616
1111027374850,10,1,59015
1111027374851,10,1,129983
1111027374852,1,1,59015
1111027374856,7,0,46867
1111027374857,7,1,45906
1111027374860,7,1,75022
1111027374862,1,1,55208
1111027374864,7,1,53074
1111027374866,10,1,110175
1111027374875,8,1,81503
1111027374879,7,0,36883
1111027374880,7,0,59015
1111027374881,7,0,43069
1111027374885,10,1,93964
1111027374886,10,1,94495
1111027374888,10,1,90647
1111027374889,10,1,94218
1111027374893,7,0,34966
1111027374894,7,1,80438
1111027374900,13,1,36508
1111027374901,10,1,74940
1111027374905,7,1,60200
1111027374906,10,0,129969
1111027374911,4,1,42527
1111027374915,6,0,46582
1111027374916,4,0,41003
1111027374920,1,1,68972
1111027374927,8,1,87274
1111027374928,8,1,92592
1111027374929,8,1,112605
1111027374932,4,1,42386
1111027374935,7,1,67826
1111027374936,7,1,63826
1111027374937,7,1,63816
1111027374941,8,1,71598
1111027374944,8,1,100274
1111027374948,1,1,59015
1111027374953,1,0,85711
1111027374954,2,1,51491
1111027374956,1,1,111751
1111027374958,10,1,99794
1111027374962,1,1,112252
1111027374965,1,1,112709
1111027374969,8,1,63230
1111027374970,2,1,50026
1111027374971,7,0,70693
1111027374973,7,1,61727
1111027374979,1,1,59015
1111027374980,1,1,97561
1111027374981,1,1,94525
1111027374982,7,1,67712
1111027374983,10,1,76024
1111027374985,7,1,80720
1111027374987,1,1,59015
1111027374989,1,1,125082
1111027374991,7,1,73792
1111027374993,1,1,112536
1111027374999,10,1,59015
1111027375000,7,1,63851
1111027375001,10,1,59015
1111027375002,10,1,59015
1111027375004,10,1,111273
1111027375006,10,1,85565
1111027375007,7,1,83240
1111027375009,7,1,98341
1111027375014,7,0,70997
1111027375015,7,0,61877
1111027375019,7,1,72170
1111027375022,10,0,81797
1111027375026,7,1,53017
1111027375027,8,0,60835
1111027375036,2,0,48941
1111027375038,7,1,56336
1111027375040,2,0,53478
1111027375047,7,1,53601
1111027375049,6,0,47794
1111027375050,7,1,54180
1111027375051,7,1,69767
1111027375053,10,1,155920
1111027375060,7,1,62022
1111027375062,7,0,68349
1111027375065,7,1,64025
1111027375066,7,0,61281
1111027375067,7,1,59262
1111027375068,7,0,67436
1111027375070,1,1,59015
1111027375073,7,0,59877
1111027375078,10,1,100073
1111027375079,8,1,69304
1111027375081,7,1,70221
1111027375082,7,1,71470
1111027375083,7,1,77339
1111027375084,7,1,80822
1111027375085,7,1,72776
1111027375086,7,1,68279
1111027375088,10,0,83759
1111027375089,10,1,78754
1111027375090,10,1,83827
1111027375092,10,1,100073
1111027375095,10,1,97271
1111027375103,10,1,80217
1111027375104,10,1,84021
1111027375106,7,1,49956
1111027375108,1,1,111030
1111027375110,1,1,85855
1111027375114,1,1,84131
1111027375115,1,1,65375
1111027375119,10,1,119827
1111027375120,10,1,109989
1111027375121,10,1,111889
1111027375123,7,1,55281
1111027375124,7,0,50845
1111027375126,10,1,86538
1111027375127,10,1,87270
1111027375132,7,0,43658
1111027375133,10,1,47387
1111027375135,6,1,45854
1111027375139,6,1,42111
1111027375141,7,1,55507
1111027375142,1,1,67507
1111027375143,10,0,88839
1111027375147,10,1,74746
1111027375149,10,1,76941
1111027375150,4,1,37054
1111027375151,11,0,36953
1111027375152,6,1,48343
1111027375153,6,1,47997
1111027375154,6,1,50014
1111027375155,10,1,77077
1111027375157,7,1,60333
1111027375158,7,1,77695
1111027375159,10,1,125296
1111027375161,7,1,84981
1111027375162,10,0,101480
1111027375165,10,1,59015
1111027375168,6,0,46387
1111027375169,7,1,63634
1111027375170,7,0,48859
1111027375171,7,1,67077
1111027375173,11,0,46711
1111027375176,6,0,36694
1111027375178,9,0,47066
1111027375180,1,1,60459
1111027375181,7,1,71958
1111027375182,7,1,68656
1111027375183,7,1,72945
1111027375184,7,1,68304
1111027375185,7,1,68685
1111027375186,7,1,69160
1111027375188,7,1,68665
1111027375189,7,1,78727
1111027375190,7,1,80548
1111027375191,6,1,37335
1111027375194,7,1,71061
1111027375195,7,1,65969
1111027375196,1,1,113927
1111027375197,1,1,102218
1111027375198,1,1,87404
1111027375199,1,1,94271
1111027375201,1,1,77051
1111027375202,1,1,97649
1111027375203,1,1,85073
1111027375204,1,1,99655
1111027375205,1,1,97906
1111027375206,1,1,102521
1111027375208,1,1,91208
1111027375209,1,1,94411
1111027375210,10,1,122264
1111027375214,1,1,103459
1111027375215,1,1,94155
1111027375216,7,1,67009
1111027375217,7,1,73815
1111027375219,7,1,75536
1111027375220,1,0,79684
1111027375221,7,1,69963
1111027375225,8,1,107405
1111027375226,7,1,50565
1111027375228,7,1,53955
1111027375229,7,1,67041
1111027375242,7,1,76949
1111027375245,10,1,144129
1111027375246,10,1,82356
1111027375248,8,1,77107
1111027375250,10,1,80615
1111027375257,10,0,122742
1111027375258,7,0,79860
1111027375259,1,0,84458
1111027375262,1,1,74016
1111027375265,1,1,105084
1111027375266,8,1,60618
1111027375268,7,1,69878
1111027375271,7,1,89512
1111027375273,7,1,49691
1111027375276,8,1,79739
1111027375277,1,1,44271
1111027375278,7,0,66296
1111027375280,1,1,112184
1111027375289,7,0,50947
1111027375301,10,1,88366
1111027375302,10,1,59015
1111027375317,7,1,62705
1111027375320,11,0,54117
1111027375321,11,0,53769
1111027375325,8,1,106132
1111027375331,10,1,89982
1111027375332,7,0,92909
1111027375334,7,1,81684
1111027375335,10,1,86271
1111027375336,10,1,101549
1111027375340,8,1,83015
1111027375345,7,1,70080
1111027375346,7,1,47203
1111027375347,7,1,57709
1111027375352,7,1,55722
1111027375353,2,0,38757
1111027375354,7,1,70719
1111027375355,7,1,69836
1111027375356,7,1,65931
1111027375357,7,1,65499
1111027375358,7,1,77020
1111027375361,7,1,74127
1111027375362,7,1,81214
1111027375363,7,1,76542
1111027375368,7,1,59015
1111027375375,7,1,45453
1111027375376,7,1,70082
1111027375380,4,1,43777
1111027375382,8,1,101206
1111027375383,6,1,44755
1111027375384,6,1,43641
1111027375389,7,1,71334
1111027375390,7,1,71457
1111027375391,7,1,71268
1111027375395,7,1,72315
1111027375396,7,1,74483
1111027375397,7,1,67425
1111027375398,7,1,69033
1111027375399,7,1,75861
1111027375400,7,1,71428
1111027375404,11,1,42785
1111027375405,7,1,64716
1111027375411,10,1,121108
1111027375415,7,1,75280
1111027375416,7,1,70574
1111027375419,7,1,71072
1111027375420,7,1,67606
1111027375422,7,0,79479
1111027375423,7,1,69042
1111027375424,7,1,57020
1111027375426,7,1,72160
1111027375427,10,1,86416
1111027375430,1,1,104629
1111027375431,1,1,97747
1111027375433,1,1,104213
1111027375434,10,1,115556
1111027375435,8,1,80774
1111027375440,2,0,47571
1111027375442,2,0,43437
1111027375444,2,0,46190
1111027375445,2,0,45437
1111027375453,7,1,76223
1111027375455,7,1,87457
1111027375456,7,1,52910
1111027375457,7,0,64544
1111027375458,7,0,59812
1111027375459,8,1,74258
1111027375460,1,0,102916
1111027375462,1,1,99634
1111027375464,1,1,89677
1111027375466,7,0,55456
1111027375467,6,0,59054
1111027375470,7,1,66938
1111027375472,1,1,59015
1111027375475,1,1,106851
1111027375477,1,1,103783
1111027375479,7,1,72822
1111027375487,7,1,65360
1111027375489,10,1,76381
1111027375490,8,1,87731
1111027375498,7,1,52158
1111027375501,7,1,85047
1111027375502,7,1,74841
1111027375503,7,1,86567
1111027375508,2,1,54134
1111027375509,2,0,50535
1111027375510,8,1,66883
1111027375513,2,0,45239
1111027375515,6,0,55111
1111027375519,2,0,56205
1111027375528,10,1,139350
1111027375529,10,1,155145
1111027375532,7,1,73523
1111027375533,7,1,48667
1111027375534,7,1,59366
1111027375535,7,1,57134
1111027375536,7,1,58907
1111027375537,7,1,62293
1111027375538,7,1,59002
1111027375540,10,1,52563
1111027375544,7,1,62564
1111027375553,8,0,61579
1111027375554,11,1,45024
1111027375562,8,0,70826
1111027375563,7,0,41983
1111027375565,11,0,40196
1111027375567,7,1,77343
1111027375568,10,1,131028
1111027375569,1,1,87505
1111027375570,10,1,122170
1111027375572,1,1,90665
1111027375573,1,1,76567
1111027375574,1,1,78980
1111027375576,1,1,106017
1111027375577,1,1,86828
1111027375578,1,1,96140
1111027375579,1,1,105511
1111027375580,1,1,108148
1111027375583,10,1,128939
1111027375584,11,0,45583
1111027375586,11,0,50209
1111027375589,6,1,40287
1111027375590,1,1,85178
1111027375591,7,1,66462
1111027375592,7,1,71958
1111027375593,7,1,64901
1111027375595,7,1,80176
1111027375596,7,0,73084
1111027375597,7,1,74834
1111027375598,7,1,74729
1111027375599,7,1,69012
1111027375600,7,0,72460
1111027375601,7,0,70100
1111027375602,7,1,68037
1111027375603,7,1,71432
1111027375605,7,0,69557
1111027375606,7,1,70240
1111027375607,1,1,91656
1111027375608,7,1,73871
1111027375609,7,1,75583
1111027375610,7,1,71475
1111027375613,7,0,81581
1111027375617,10,1,59015
1111027375620,7,0,62951
1111027375621,7,0,88248
1111027375622,7,0,81801
1111027375623,7,1,92164
1111027375624,7,1,70043
1111027375625,7,0,70292
1111027375627,7,1,66141
1111027375629,1,1,60686
1111027375632,1,1,63031
1111027375633,1,1,53925
1111027375634,7,0,69716
1111027375635,7,0,56107
1111027375636,7,0,63949
1111027375637,7,0,64574
1111027375640,10,1,127349
1111027375643,7,0,56335
1111027375644,8,0,66217
1111027375647,8,0,59533
1111027375650,7,1,91192
1111027375651,10,1,90461
1111027375653,8,1,73447
1111027375654,7,1,67001
1111027375655,7,1,62427
1111027375656,1,1,97274
1111027375657,1,1,89618
1111027375658,1,0,81104
1111027375660,1,1,87189
1111027375663,1,1,91391
1111027375667,7,0,72339
1111027375668,7,0,67384
1111027375669,7,1,64883
1111027375670,1,1,94203
1111027375671,7,1,71083
1111027375672,7,1,68049
1111027375673,7,1,72139
1111027375674,7,1,68495
1111027375675,7,1,68782
1111027375676,7,0,74295
1111027375677,7,0,69620
1111027375678,7,0,75566
1111027375686,7,1,72138
1111027375691,1,1,90003
1111027375697,10,1,107077
1111027375708,10,1,130541
1111027375710,8,0,87507
1111027375714,10,1,97716
1111027375716,10,1,95723
1111027375720,5,1,29747
1111027375723,6,1,37542
1111027375724,1,1,59015
1111027375725,1,1,92943
1111027375727,10,1,112599
1111027375729,1,0,89869
1111027375735,10,0,93030
1111027375736,10,0,90995
1111027375737,1,0,86257
1111027375738,8,0,47235
1111027375739,1,1,108193
1111027375742,6,0,33339
1111027375762,7,1,97549
1111027375772,6,0,46865
1111027375775,6,0,28497
1111027375776,7,1,40275
1111027375779,8,1,54890
1111027375782,1,0,158022
1111027375783,6,1,43211
1111027375796,8,1,106969
1111027375798,8,0,78043
1111027375807,10,0,113596
1111027375808,10,0,86713
1111027375810,10,1,73501
1111027375811,10,1,82629
1111027375813,10,1,80274
1111027375816,10,1,79035
1111027375817,10,1,59015
1111027375819,10,1,75122
1111027375820,10,1,105480
1111027375821,10,1,83779
1111027375822,10,1,59015
1111027375823,10,1,81803
1111027375825,10,1,83454
1111027375826,10,1,59015
1111027375827,1,1,108240
1111027375828,1,1,103404
1111027375829,1,1,91842
1111027375830,1,1,59015
1111027375831,5,0,32517
1111027375833,5,0,31844
1111027375834,5,0,30167
1111027375841,7,0,108901
1111027375844,7,1,51672
1111027375845,7,1,56315
1111027375846,8,0,84084
1111027375848,1,1,59673
1111027375850,10,0,75398
1111027375852,1,1,59015
1111027375855,6,1,41537
1111027375856,7,0,62613
1111027375859,4,1,39243
1111027375861,13,0,35971
1111027375862,12,0,37588
1111027375864,2,0,61243
1111027375866,2,0,55112
1111027375868,1,1,108442
1111027375870,10,1,36853
1111027375871,6,1,55551
1111027375872,9,0,50187
1111027375873,9,0,47270
1111027375874,9,0,49268
1111027375875,6,0,36774
1111027375876,7,1,68486
1111027375877,7,0,38960
1111027375878,7,1,51004
1111027375884,1,1,59015
1111027375888,1,1,42538
1111027375889,7,1,66300
1111027375890,7,1,67612
1111027375896,10,1,148962
1111027375904,6,0,43737
1111027375906,6,0,38033
1111027375908,6,0,44553
1111027375910,7,0,56542
1111027375911,10,1,136164
1111027375913,10,1,128054
1111027375918,6,0,46188
1111027375919,9,1,50059
1111027375922,6,0,55879
1111027375924,7,0,56733
1111027375926,6,0,44513
1111027375931,6,0,59015
1111027375933,1,1,90220
1111027375939,6,0,37221
1111027375941,6,0,29788
1111027375944,7,1,74259
1111027375945,7,0,54263
1111027375946,8,0,91440
1111027375947,6,0,43245
1111027375952,7,1,84440
1111027375954,7,1,63006
1111027375955,10,1,171180
1111027375960,7,1,84139
1111027375966,7,1,55339
1111027375969,7,1,61359
1111027375971,5,0,28671
1111027375972,10,1,59015
1111027375980,1,1,59015
1111027375984,7,1,79346
1111027375987,7,1,55113
1111027375989,6,0,28381
1111027375991,6,0,37155
1111027375994,6,0,36113
1111027375995,4,0,56901
1111027375997,7,1,40498
1111027375998,1,1,102029
1111027375999,10,1,96915
1111027376000,10,1,101269
1111027376001,10,1,86766
1111027376002,10,1,97436
1111027376004,1,1,95294
1111027376007,7,1,94252
1111027376008,8,0,63444
1111027376011,8,1,56690
1111027376012,10,1,106975
1111027376013,8,1,80645
1111027376014,7,1,57700
1111027376016,7,1,56893
1111027376017,7,1,50241
1111027376018,7,1,52265
1111027376019,7,1,54318
1111027376021,7,0,52938
1111027376022,7,1,62304
1111027376029,10,1,176279
1111027376030,10,1,123639
1111027376032,7,1,67798
1111027376033,11,0,54191
1111027376034,10,0,81467
1111027376036,7,0,40931
1111027376039,1,1,82623
1111027376042,1,1,101627
1111027376046,1,1,89520
1111027376048,1,1,66347
1111027376051,8,0,60502
1111027376053,10,1,98437
1111027376059,7,1,62091
1111027376061,7,1,62180
1111027376065,1,1,118729
1111027376066,1,0,108524
1111027376070,7,1,86204
1111027376071,10,1,107008
1111027376072,10,1,123897
1111027376078,8,1,80041
1111027376090,8,0,64451
1111027376091,11,1,37617
1111027376093,7,1,76558
1111027376094,7,1,72181
1111027376095,7,1,65357
1111027376096,7,1,65929
1111027376097,7,0,61280
1111027376098,7,0,57483
1111027376100,7,1,61250
1111027376101,8,1,132223
1111027376104,6,0,65465
1111027376109,7,1,33039
1111027376113,8,1,95162
1111027376122,8,1,80323
1111027376123,10,1,59015
1111027376127,7,1,76292
1111027376129,7,1,74926
1111027376136,8,1,74522
1111027376139,8,1,69804
1111027376146,10,1,90960
1111027376148,10,0,83424
1111027376153,8,1,75490
1111027376154,8,0,89849
1111027376159,8,0,76783
1111027376165,8,0,65768
1111027376169,8,1,67917
1111027376170,10,1,89152
1111027376171,10,1,101791
1111027376172,10,1,102814
1111027376173,10,1,98534
1111027376174,10,1,48538
1111027376175,10,1,99983
1111027376177,10,1,98249
1111027376178,10,1,91474
1111027376179,10,1,95969
1111027376180,10,1,109252
1111027376181,10,1,125847
1111027376182,10,1,109411
